other,Plantronics CS:GO UK Open,2014-06-26,1399
other,IEM Poland Qualifier #2,2012-12-17,1036
other,EMS One Katowice Polish National Finals,2014-02-12,1309
other,G3 Qualifier #2,2014-06-28,1400
online,RaidCall EMS One Summer 2013 Cup #1,2013-05-15,1128
other,European Championship 2013,2013-12-18,1218
other,ESEA Invite Season 13 North America,2013-02-22,1037
online,Fnatic FragOut League Season 3,2014-04-02,1310
other,TECHLABS Cup Minsk 2013,2013-05-18,1129
other,Areena #4 by SteelSeries,2014-06-28,1401
online,RaidCall EMS One Fall 2013 Group Stage,2013-10-09,1219
online,IEM Poland International Qualifier,2012-12-19,1038
other,EMS One Katowice German National Finals,2014-02-16,1311
online,Fnatic FragOut League Season 2,2013-06-13,1130
other,Killing Spree,2014-07-08,1402
other,EMS One Katowice CIS Regional Finals,2014-02-16,1312
other,ESL UK SteelSeries Community Challenge S1 Finals,2014-07-02,1403
online,SLTV ProSeries VII,2013-10-05,1221
other,SteelSeries CS:GO Calling,2014-02-16,1313
other,Showmatch CS:GO,2017-05-19,1040
other,ESEA Invite Season 17 North America,2014-09-24,1404
other,FMR Lan Cup @ Igromir,2013-10-06,1222
other,epic.TWELVE,2014-02-17,1314
other,Go4CS:GO Cup #44,2013-05-19,1133
online,Gaming.dk League by SteelSeries Season 5,2013-02-12,1041
other,ESL One Cologne 2014 North pre-qualifier,2014-07-01,1405
other,MSI Beat it! 2013 Chinese Finals,2013-10-06,1223
other,ESL Pro Series Germany Spring 2014 Cup #1,2014-02-17,1315
other,DreamHack Summer 2013 Finnish Qual.,2013-05-22,1134
other,LanTrek 2013,2013-01-12,1042
other,CEVO Professional Season 5 Placement,2014-07-10,1406
other,Do Gaming League Championship 2013,2013-10-05,1224
online,RaidCall EMS One Summer 2013 Cup #2,2013-05-22,1135
other,EMS One Katowice European Qualifier #1,2014-02-20,1316
other,Epsilan 11,2013-10-05,1225
other,IronGaming,2014-07-06,1408
other,Swedish Championship 2013 Umeå pre-qual #2,2013-01-14,1044
other,ESWC 2013 Ukraine,2013-10-06,1226
online,SLTV StarSeries IX,2014-04-15,1317
other,MFJV Online Series #2,2013-05-28,1137
other,ESL One Cologne 2014 South-West pre-qualifier,2014-07-03,1409
other,The Nordic Games #1 Finnish qualifier,2013-01-16,1045
other,DreamHack Stockholm SteelSeries CS:GO Invitational 2014,2014-02-22,1318
other,Svecup Västerås,2013-05-26,1138
other,Telkom Do Gaming League Winter 2014,2014-07-06,1410
other,Your road to Katowice 2013,2013-01-20,1046
other,DreamHack Summer 2013 Danish Qual.,2013-05-26,1139
other,RyuLAN 2013,2013-01-20,1047
other,ESL Pro Series Poland Season 8 Finals,2014-07-06,1411
other,ESL Pro Series Germany Spring 2014 Cup #2,2014-02-25,1320
other,SteelSeries GO 2012,2012-08-26,958
online,The Nordic Games #1 Danish qualifier,2013-01-20,1048
other,GameGune 2014,2014-07-06,1412
online,ESL Pro Series Germany Winter 2013 Cup #1,2013-10-07,1230
online,EMS One Katowice European Finals,2014-02-28,1321
other,ESEA Invite Season 14 Europe,2013-07-18,1141
other,SLTV StarSeries VII Finals,2013-10-13,1231
other,ESL Pro Series Germany Summer 2014 Cup #4,2014-07-07,1413
online,CS Forever: London,2014-03-01,1322
online,Fnatic FragOut CS:GO League,2013-02-10,1049
online,RaidCall EMS One Summer 2013 Cup #3,2013-05-29,1142
other,ESL Pro Series France XI Cup #3,2013-10-10,1232
other,Assembly Summer 2014 qualifier #1,2014-07-08,1414
other,Fragbite Masters 2014 Qualifier #1,2014-03-01,1323
online,The Nordic Games #1,2013-01-27,1050
other,ESEA Intermediate Season 14 Europe,2013-05-28,1143
other,ESL One Cologne 2014 Oceanic qualifier,2014-07-20,1415
other,CEVO Professional Season 4,2014-06-04,1324
other,FACEIT Cup May 2013,2013-05-31,1144
other,Epsilan 10,2013-02-03,1052
other,Fragbite Masters 2014 Qualifier #2,2014-03-05,1325
other,DreamHack Summer 2013 IOS Qual.,2013-06-01,1145
other,5eplay Steelseries League Season 3,2014-07-13,1417
other,Gaming.dk League by SteelSeries Season 7 Finals,2013-10-12,1236
online,Hitbox Arena Showdown,2014-07-16,1418
online,Go4CS:GO Cup #6,2012-09-13,965
online,Gfinity Alienware Pro League Season 1,2014-04-22,1327
other,ESWC 2013 Sweden,2013-10-12,1237
online,RaidCall EMS One Summer 2013 Cup #4,2013-06-05,1147
other,ESPC CS:GO #1,2013-02-09,1055
other,ESL One Cologne 2014 South-East pre-qualifier,2014-07-15,1419
online,CyberGamer Qualifier Cup #1 by Tt eSPORTS,2012-09-13,966
online,GSL Egamingbets Cup,2014-03-09,1328
online,RaidCall EMS One Summer 2013 Group Stage,2013-06-13,1148
other,ESEA Invite Season 15 Europe,2013-12-15,1238
online,SLTV StarSeries V,2013-03-24,1056
other,CEVO Professional Season 5,2014-09-17,1420
other,Gaming.dk League by SteelSeries Season 8,2014-04-01,1329
other,TLP 2013 Qualifier,2013-06-09,1149
online,ESL Pro Series Germany Winter 2013 Cup #2,2013-10-14,1239
other,GDK SteelSeries GO #1,2012-09-17,968
other,Gaming.dk League by SteelSeries Season 5 Finals,2013-02-15,1057
other,Fragbite Masters 2014 Qualifier #3,2014-03-07,1330
online,FACEIT Cup September 2013,2013-10-16,1240
online,RaidCall EMS One Spring 2013 Cup #1,2013-02-14,1058
other,Fragbite Masters 2014 Qualifier #4,2014-03-08,1331
online,Caseking of the Hill #1,2014-07-17,1422
other,DreamHack Summer 2013,2013-06-17,1151
other,ESWC 2012 France Pre-Qual. #1,2012-09-19,970
online,The Nordic Games #2 Finnish qualifier,2013-02-14,1059
other,ESL One Cologne 2014 North American qualifier,2014-07-17,1423
online,Fragbite Masters 2014,2014-03-30,1332
other,DreamHack Summer 2013 BYOC,2013-06-16,1152
other,Go4CS:GO Cup #7,2012-09-18,971
other,ESEA Invite Season 15 North America,2013-12-16,1242
other,DreamHack Valencia 2014,2014-07-20,1424
other,HKLAN 2013,2013-02-17,1060
major,EMS One Katowice 2014,2014-03-16,1333
other,Swedish Championship 2013,2013-06-17,1153
online,ESL Pro Series France XI Cup #4,2013-10-18,1243
other,DreamHack Valencia 2014 qualifier,2014-07-18,1425
other,ESL Pro Series Poland Season 5 Finals,2013-02-17,1061
other,DreamHack Summer 2013 2on2,2013-06-17,1154
intl-lan,DreamHack Valencia 2012,2012-09-23,973
other,ESEA Invite Season 16 Europe,2014-05-10,1334
other,Go4CS:GO Cup #66,2013-10-20,1244
other,epic.THIRTEEN,2014-07-20,1426
other,KGB CM Storm 2013,2013-02-17,1062
other,RaidCall EMS One Summer 2013 Finals,2013-06-30,1155
other,CyberGamer Qualifier Cup #2 by IN WIN,2012-09-21,974
other,East Asian Championship 2014,2014-03-23,1335
other,RaidCall EMS One Fall 2013 Finals,2013-10-27,1245
